                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.6097,                 1.4571,                 2.4583,                0.99654,                      1,                  0.995,                0.81456,                0.92295,                 1.0109,                 2.0143,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5082,                 1.4151,                 2.3707,                0.99689,                      1,                  0.995,                0.68476,                  1.189,                 1.1982,                 2.1368,               0.001109,               0.001109,               0.001109
                     48,                 1.5579,                 1.3724,                 2.3095,                0.97923,                      1,                0.99132,                0.80805,                0.88961,                 1.0365,                 1.7622,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.4714,                 1.3562,                 2.1993,                0.98326,                      1,                0.99353,                0.72561,                 1.2257,                 1.0936,                 2.0512,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.6764,                 1.3499,                 2.4389,                0.98416,                      1,                0.99294,                0.67179,                  1.313,                0.94306,                 2.1494,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6025,                 1.2869,                 2.3205,                0.96488,                0.95522,                0.98561,                0.78823,                 0.8525,                 1.2332,                 1.9202,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.4116,                  1.302,                 2.1111,                0.96967,                      1,                0.99143,                 0.7557,                 1.0218,                 1.4626,                 2.0057,                0.00101,                0.00101,                0.00101
                     53,                 1.4874,                 1.2452,                 2.3143,                      1,                0.99962,                  0.995,                0.77831,                0.92515,                 1.1361,                  1.923,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.424,                 1.2213,                 2.2541,                      1,                0.99723,                  0.995,                0.81938,                0.84154,                0.89142,                 1.8094,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3601,                 1.1987,                 2.0847,                 0.9832,                      1,                 0.9925,                0.83981,                0.74529,                 0.8877,                 1.7655,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.3609,                 1.3006,                  2.171,                0.98389,                      1,                0.99029,                0.76555,                 1.0339,                0.95348,                 2.0269,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5251,                  1.287,                 2.2369,                0.99656,                      1,                  0.995,                0.68743,                 1.2892,                0.96348,                 2.1442,               0.000911,               0.000911,               0.000911
                     58,                  1.357,                 1.2235,                 2.1406,                0.99771,                      1,                  0.995,                0.73277,                 1.0075,                 0.7831,                 1.9296,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4142,                  1.167,                  2.179,                0.99718,                      1,                  0.995,                  0.861,                0.72891,                0.78268,                 1.7115,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.7061,                   1.36,                 2.2381,                0.99596,                      1,                  0.995,                0.81703,                0.82286,                0.84299,                 1.7533,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0978,                 1.0208,                 1.8788,                      1,                0.99719,                  0.995,                0.75299,                 1.0641,                0.92283,                 1.9105,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.3479,                 1.0903,                 2.0865,                0.98513,                 0.9888,                0.99485,                0.77857,                 1.0174,                0.83923,                 1.8144,               0.000812,               0.000812,               0.000812
                     63,                 1.1457,                 1.0216,                 1.9676,                0.99979,                0.98507,                0.99485,                0.86615,                0.73654,                0.80411,                 1.5949,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.3663,                 1.1616,                 2.0834,                0.99908,                      1,                  0.995,                0.87652,                0.81407,                0.76645,                 1.6235,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3095,                 1.0755,                 2.0855,                0.99749,                      1,                  0.995,                0.87632,                0.75028,                0.75835,                 1.5763,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1394,                 0.9593,                 1.9402,                0.98288,                      1,                0.99471,                0.85273,                0.68196,                0.83753,                 1.5508,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0868,                0.98939,                  1.956,                0.98133,                      1,                0.99294,                 0.8491,                 0.6999,                0.96034,                 1.6142,               0.000713,               0.000713,               0.000713
                     68,                 1.3433,                 1.1947,                 2.1283,                0.98283,                      1,                0.99338,                0.83126,                0.78627,                0.99503,                 1.7292,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.2834,                 1.0484,                  2.067,                0.98344,                      1,                0.99309,                0.84537,                0.79017,                0.93875,                 1.6362,              0.0006734,              0.0006734,              0.0006734
                     70,                   1.16,                0.93574,                 1.8926,                0.98404,                      1,                0.99309,                0.87876,                0.66667,                0.77458,                 1.5705,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.0542,                 0.9124,                 1.8284,                0.98431,                      1,                0.99471,                0.84549,                0.66966,                0.70226,                 1.6006,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0355,                  0.914,                  1.823,                0.98372,                      1,                0.99441,                0.85003,                0.68762,                0.69025,                  1.601,               0.000614,               0.000614,               0.000614
                     73,                 1.1055,                0.94843,                 1.8883,                0.99739,                      1,                  0.995,                0.89547,                0.58921,                0.67838,                 1.5459,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0915,                0.93468,                 1.8481,                 0.9973,                      1,                  0.995,                0.87069,                0.65932,                0.69085,                  1.598,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1243,                0.95045,                 1.8778,                0.99752,                      1,                  0.995,                0.87445,                0.62109,                0.77862,                 1.6011,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.0717,                0.96781,                 1.8917,                0.99832,                      1,                  0.995,                0.87991,                0.63542,                0.97263,                 1.6144,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0042,                0.95848,                 1.8517,                0.99815,                      1,                  0.995,                0.86631,                0.68553,                0.97637,                 1.6163,               0.000515,               0.000515,               0.000515
                     78,                 1.0321,                0.89182,                 1.7975,                 0.9966,                      1,                  0.995,                0.85142,                0.75099,                0.92372,                 1.6013,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1228,                0.97828,                 1.9423,                0.99835,                      1,                  0.995,                0.84606,                0.77972,                0.82662,                  1.553,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.051,                0.91986,                 1.8216,                0.99835,                      1,                  0.995,                  0.821,                0.84331,                0.69483,                 1.5099,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1525,                0.90505,                 1.8343,                0.99867,                      1,                  0.995,                0.82281,                0.81341,                0.66872,                  1.502,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.9648,                0.88881,                 1.7468,                0.99888,                      1,                  0.995,                0.89187,                 0.6046,                0.61651,                 1.4418,               0.000416,               0.000416,               0.000416
                     83,                 1.0557,                0.91987,                 1.7728,                0.99877,                      1,                  0.995,                0.87998,                0.62205,                0.65133,                 1.4587,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.044,                0.86966,                 1.8163,                0.99777,                      1,                  0.995,                0.89008,                0.57856,                0.69171,                 1.4495,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2379,                0.97107,                 1.9179,                0.99741,                      1,                  0.995,                0.89196,                0.56386,                0.68792,                  1.434,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0111,                0.87342,                 1.7977,                0.99809,                      1,                  0.995,                0.88528,                0.57488,                0.69786,                 1.4404,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.0466,                 0.8506,                 1.8029,                0.99827,                      1,                  0.995,                0.89376,                0.56409,                0.70396,                 1.4311,               0.000317,               0.000317,               0.000317
                     88,                 0.9158,                0.91456,                 1.6833,                0.99832,                      1,                  0.995,                0.89455,                0.61997,                0.72062,                 1.4456,              0.0002972,              0.0002972,              0.0002972
                     89,                0.97527,                0.89011,                 1.8175,                0.99816,                      1,                  0.995,                0.89153,                0.63902,                0.74097,                 1.4581,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0132,                0.82734,                 1.7872,                0.99808,                      1,                  0.995,                0.88972,                0.62976,                0.74378,                 1.4501,              0.0002576,              0.0002576,              0.0002576
                     91,                0.68445,                0.89631,                 1.5005,                0.99806,                      1,                  0.995,                0.89993,                0.55146,                0.70073,                 1.4103,              0.0002378,              0.0002378,              0.0002378
                     92,                0.62282,                0.84545,                 1.4095,                0.99826,                      1,                  0.995,                0.87787,                0.61633,                0.73569,                 1.4341,               0.000218,               0.000218,               0.000218
                     93,                0.60373,                0.77287,                 1.3572,                0.99835,                      1,                  0.995,                0.86027,                0.66189,                0.77458,                 1.4545,              0.0001982,              0.0001982,              0.0001982
                     94,                0.64336,                0.81424,                 1.4913,                0.99841,                      1,                  0.995,                0.87795,                0.63748,                0.79932,                 1.4469,              0.0001784,              0.0001784,              0.0001784
                     95,                0.64672,                0.79519,                 1.4604,                0.99838,                      1,                  0.995,                0.87658,                0.62583,                 0.8152,                 1.4387,              0.0001586,              0.0001586,              0.0001586
                     96,                0.65279,                  0.833,                 1.5252,                0.99843,                      1,                  0.995,                0.86307,                0.59086,                0.81201,                 1.4028,              0.0001388,              0.0001388,              0.0001388
                     97,                0.57356,                0.75798,                 1.3246,                0.99847,                      1,                  0.995,                0.86594,                 0.5814,                0.79587,                 1.3849,               0.000119,               0.000119,               0.000119
                     98,                0.70758,                0.79864,                 1.4894,                0.99841,                      1,                  0.995,                0.87411,                 0.5537,                0.78243,                 1.3631,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.65888,                0.80243,                 1.4506,                 0.9983,                      1,                  0.995,                0.88686,                0.52418,                0.74633,                  1.333,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.58278,                0.74719,                 1.4141,                0.99788,                      1,                  0.995,                0.91226,                0.50425,                0.69611,                 1.3091,               5.96e-05,               5.96e-05,               5.96e-05
